superregion2,iso3,age,female,urban,edu,year,varnum,v05_type,v05_type_desc,Median,serving,country name
FSU,BIH,999.0,999,999,999,2018,5,1,1: Foods & Beverages,13.9882378949026,0.14276625,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,75.778597740292,0.77993613,Belarus
LAC,BLZ,999.0,999,999,999,2018,5,1,1: Foods & Beverages,27.5599663237655,0.28973892,Belize
LAC,BOL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,11.2657903840414,0.11857478,Bolivia
LAC,BRA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,82.1244080381322,0.8494457,Brazil
LAC,BRB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,6.89395439831565,0.070707224,Barbados
Asia,BRN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,34.3251160000285,0.35669869,Brunei
SAARC,BTN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,70.7206622652254,0.73636675,Bhutan
SSA,BWA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.9771634645105,0.20132785,Botswana
SSA,CAF,999.0,999,999,999,2018,5,1,1: Foods & Beverages,37.6858423769262,0.40701851,Central African Republic
HIC,CAN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.8835000388869,0.19367692,Canada
HIC,CHE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,2.66248976292994,0.027301988,Switzerland
LAC,CHL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,12.8880614393896,0.13293514,Chile
Asia,CHN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.1832419719628,0.15630268,China
SSA,CIV,999.0,999,999,999,2018,5,1,1: Foods & Beverages,4.5502819820337,0.049208198,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,30.1347559061488,0.3259221,Cameroon
SSA,COD,999.0,999,999,999,2018,5,1,1: Foods & Beverages,30.8143275235012,0.33706331,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,5,1,1: Foods & Beverages,22.610524224773,0.24388441,Republic of Congo
LAC,COL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,25.7544882084672,0.26707962,Colombia
SSA,COM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,9.62252921254142,0.10340135,Comoros
SSA,CPV,999.0,999,999,999,2018,5,1,1: Foods & Beverages,30.9623404428347,0.3247571,Cape Verde
LAC,CRI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,28.1633313084439,0.2914252,Costa Rica
LAC,CUB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,26.3213424878939,0.27010101,Cuba
HIC,CYP,999.0,999,999,999,2018,5,1,1: Foods & Beverages,30.890080811718,0.31721178,Cyprus
FSU,CZE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,12.5063010707605,0.12817773,Czech Republic
HIC,DEU,999.0,999,999,999,2018,5,1,1: Foods & Beverages,5.25373944001769,0.05372471,Germany
SSA,DJI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,198.90906235834,2.0944409,Djibouti
LAC,DMA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,30.5373756423485,0.31756836,Dominica
HIC,DNK,999.0,999,999,999,2018,5,1,1: Foods & Beverages,23.1554267517591,0.23729685,Denmark
LAC,DOM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,45.555604128991,0.477072,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.9690498898652,0.20087948,Algeria
LAC,ECU,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.285661848494,0.16022706,Ecuador
MENA,EGY,999.0,999,999,999,2018,5,1,1: Foods & Beverages,8.88315783636442,0.094763793,Egypt
